"year","goal_id","dimension","region_id","value"
"2012","AO","future","186","80.4"
"2012","AO","future","187","82.33"
"2012","AO","future","188","70.23"
"2012","AO","future","189","99.21"
"2012","AO","future","190","94.15"
"2012","AO","future","191","72.38"
"2012","AO","future","192","61.09"
"2012","AO","future","193","79.09"
"2012","AO","future","194","79.79"
"2012","AO","future","195","80.24"
"2012","AO","future","196","82.66"
"2012","AO","future","197","75.47"
"2012","AO","future","198","73.61"
"2012","AO","future","199","77.24"
"2012","AO","future","200","88.21"
"2012","AO","future","202","90.22"
"2012","AO","future","203","76.03"
"2012","AO","future","204","61.74"
"2012","AO","future","205","74.85"
"2012","AO","future","206","66.04"
"2012","AO","future","207","81.83"
"2012","AO","future","208","96.78"
"2012","AO","future","209","40.86"
"2012","AO","future","210","55.69"
"2012","AO","future","212","41.81"
"2012","AO","future","213","NA"
"2012","AO","future","214","69.52"
"2012","AO","future","215","67.23"
"2012","AO","future","216","92.92"
"2012","AO","future","218","50.32"
"2012","AO","future","219","75.93"
"2012","AO","future","220","96.02"
"2012","AO","future","221","75.24"
"2012","AO","future","222","99.21"
"2012","AO","future","223","100"
"2012","AO","future","224","74.78"
"2012","AO","future","227","87.85"
"2012","AO","future","228","87.85"
"2012","AO","future","231","75.3"
"2012","AO","future","232","60.52"
"2012","AO","future","237","80.46"
"2012","AO","future","244","79.51"
"2012","AO","future","245","80.5"
"2012","AO","future","247","84.14"
"2012","AO","future","248","88.71"
"2012","AO","future","249","88.71"
"2012","AO","future","250","90.35"
"2012","AO","pressures","1","11.08"
"2012","AO","pressures","2","9.78"
"2012","AO","pressures","3","10.15"
"2012","AO","pressures","4","9.11"
"2012","AO","pressures","5","14.99"
"2012","AO","pressures","6","25.95"
"2012","AO","pressures","7","33.37"
"2012","AO","pressures","8","30.14"
"2012","AO","pressures","9","26.53"
"2012","AO","pressures","10","29.55"
"2012","AO","pressures","11","28.37"
"2012","AO","pressures","12","17.59"
"2012","AO","pressures","13","20.17"
"2012","AO","pressures","14","29.76"
"2012","AO","pressures","15","46.4"
"2012","AO","pressures","16","12.1"
"2012","AO","pressures","17","35.59"
"2012","AO","pressures","18","29.81"
"2012","AO","pressures","19","25.67"
"2012","AO","pressures","20","25.08"
"2012","AO","pressures","21","43.92"
"2012","AO","pressures","24","50.06"
